,topic,content
93,When Do We Know We Have Gained Enough Experience to Write About Sobriety?," 673 Followers Published in AINYF…Alcohol is NOT Your Friend ·1 hour ago What came first, the depression (chicken) or the alcohol (egg). —  Do you drink? Are you depressed? Throughout my many years of drinking, I rarely was depressed. Sure, I had moments of sadness. There were periods of my life when gloom descended upon me daily for an hour or so. I had a difficult childhood, and that had a severe impact… 3 min read Published in AINYF…Alcohol is NOT Your Friend ·1 day ago Sometimes I wonder if I'm qualified to write about drinking. —  What do I know about addiction? What gives me the right to talk about overdrinking? Is it because I drank for over 50 years? That's not a typo. I began drinking in my mid-teens and quit after I retired. I'm almost four years sober. Yes, I am qualified to write… 3 min read 1 day ago It’s not always understandable why and if that happens. —  I had what I considered a difficult childhood. I know others had a more troubling time; however, each of us has the individual experiences that shaped us. My father was tough on my sister and me. He believed in using the belt as a disciplinary measure. He also rarely showed… 3 min read 3 days ago Does it make you think perhaps you’re not as bad after all? —  I’m reading a novel, Bright Burning Things, and the protagonist is an alcoholic woman with a four-year-old boy. How could she drink three bottles of wine when she is solely responsible for little Tommy? And, Tommy was hungry and needed a bath. What kind of a mother is she? My… 3 min read Published in AINYF…Alcohol is NOT Your Friend ·6 days ago We all need support at various times in our lives, yet how do we know when? —  I quit drinking almost four years ago. I thought about it for many years before I leaped. During the two years leading up to my drinking, I thought about quitting almost daily. Instead, I drank more. It was as though I wanted to make myself so sick of alcohol and… 3 min read Published in AINYF…Alcohol is NOT Your Friend ·Jun 16 This may sound like a no-brainer, but it takes planning to find balance in your life. —  The two years before quitting alcohol, my life was out of whack. I'm not sure I realized it. I don't think I even gave it much thought. I was retired and felt free as a bird. Like most of you who spent the majority of your adult life working and… 4 min read Jun 15 I’m sure no one escapes debilitating emotions after an evening of imbibing. —  It was a beautiful morning, and my dear friend and I were out for a morning walk and some shopping. We were in Honolulu with our spouses, vacationing together for the first time. The guys wanted to revisit the Pearl Harbor memorial. Melissa and I decided to pass. A bit… 3 min read Published in AINYF…Alcohol is NOT Your Friend ·Jun 14 Can you return to your honest ways after finding sobriety? —  I called to check in with a good friend at 2 p.m. She was in the middle of a task and replied she’d call me back when she was through. I responded that I was going to dinner and getting ready by 4 p.m., so call before that. That was… 3 min read Published in AINYF…Alcohol is NOT Your Friend ·Jun 13 It takes more than willpower to quit drinking — you need to possess a superpower. —  Are you sober? If so, you know it wasn’t easy. Yet, still, you managed to quit and leave the poison behind. Willpower is great, but it’s not enough. To quit an addiction, you need to marshall your forces and use whatever you have in your arsenal to leave it behind. … 3 min read Jun 11 Urinary tract infections may have strange side effects. —  Recently I noticed my cousin did not remember a conversation we had yesterday. Another time he was relating a discussion he had with his daughter an hour before and couldn't recall many details. I asked him to explain further, and he said he didn't know and that it was confusing… 2 min read"
94,The Transgender Experience is Inherently Dissociating," 182 Followers Published in SUPERJUMP ·Pinned Part One: What is interactivity, actually? —  I don’t know about you, but I keep the “played time” stats on my Steam profile hidden. A lot of the self-identified gamers I know — like how there are folks who read and then there are ‘readers’ — get a little shy and awkward when you ask them… 12 min read Published in SUPERJUMP ·Pinned You’ve never even seen the real world —  Well, I suppose this is a developmental milestone we all hit eventually — the “handwringing over media like it’s a shortcut to societal improvement” stage. These days, the only activism most of us can routinely manage is fighting about kids’ movies with bigots on Twitter, so it behooves us… 13 min read Published in An Injustice! ·16 hours ago How we dehumanize people who challenge our worldview —  So I was dissociating the other day as ya do, and it occurred to me that I haven’t been as lonely in my unreal fog of late. More people talking about dissociating these days, especially in my peer group. Then it occurred to me that my peer group is, well… 13 min read Jun 12 Kitten laundering is the next big thing, tell your friends —  ‘Lo child, Hey, it’s Pride! I hope your local celebration is busier than a dyke in a hardware store, and absolutely fascist-free. As you can probably imagine, my shelves, countertops, and surfaces just overflow with dragon ass and anime girls, because I paint almost every day and I’m constantly whining… 4 min read Jun 4 A sonnet about the things we left at sea —  So… during my transition, one of the first things I did was change my name. Legally, the whole deal. I kept it pretty quiet as I was doing the legwork — which is involved, and expensive, and I’m lucky that in my state I didn’t have to get surgery first… 3 min read May 31 Mea culpa, my imaginary children —  ‘Lo child, They say that every painting is a self-portrait, that an artist can’t help but depict themselves in their work, but I feel that’s got more to do with our impulse to personify everything — like we discussed in our spicy talk about deontology, we have a pretty universal… 5 min read Published in An Injustice! ·May 23 St. Peter’s Here for an Audit —  So a couple of days ago, Activision-Blizzard-King-McDonalds-Playmobil dropped this hilarious chart on us and bellied up to the internet for their Good Boy Activism Points. They knew they would get Good Boy Activism Points for this because as you can see from… 7 min read May 23 No, it’s not ‘money’ this time, it’s ALWAYS ‘money’ —  ‘Lo child, It might surprise you, but I see myself as a lucky person. If anyone was counting, there are plenty of reasons to fault my luck, but I’m an absurdist, y’see, and so I think of ‘luck’ in its most pure and value-neutral form. In a surprisingly short… 5 min read May 9 The Gentle Cult makes no guarantees regarding the efficacy of the Power Word of the Week —  ‘Lo childs, Enclosed please find your anticipated foreshortened newsletter due to second eye-polishing and associated residuum and folderol. Beneath: images of our Nightmare Before Christmas miniature, meticulously recreated by Cult Elder Viki Winter and painted by me. Adjacent: an opportunity to download these models for your own 3D printer… 2 min read ‘Lo childs, Enclosed please find your anticipated foreshortened newsletter due to second eye-polishing and associated residuum and folderol. Beneath: images of our Nightmare Before Christmas miniature, meticulously recreated by Cult Elder Viki Winter and painted by me. Adjacent: an opportunity to download these models for your own 3D printer… -- -- May 6 It’s that seizure you’ve been waiting for! —  ‘Lo child, Seen your shadow lately? I’ve been missing mine, which troubles me — reminds me of this thing I saw on the zoetrope recently. Mine doesn’t get Riverdale, so I ended up watching a story by Hans Christian Andersen called “The Shadow.” It’s about a man whose shadow… 7 min read"
95,"Be Happy, because You Deserve It!"," 2.6K Followers Published in ILLUMINATION-Curated ·11 hours ago Summer Solstice 21 June —  The longest day came As darkness beats its retreat Devouring the sun as it waxed Consuming it but for a glow; Shades covered the earth Holding hostage the sunlight Till the dawn shall come forth In a moment of the night. All was about lost But for the hope of… 2 min read Published in ILLUMINATION-Curated ·1 day ago “Happy Birthday” on your Coming Birthday in 2022 —  Is your birthday yet to come in 2022? Here early best wishes wooshing your way On your birthday coming soon, Let me be first to say “Happy Birthday” To one and all awaiting birthdays in 2022, That day will come like any day past Reminding again a year has passed. … 2 min read Published in ILLUMINATION-Curated ·2 days ago Your Life Does Not End in Death —  Death accompanies us like a personal shadow, growing as we grow, and at times looming larger or taller depending on the role it chooses as our alternate self. Death is personal and customised for each one of us. Death’s only story is the story of our life. It has no… 6 min read Published in ILLUMINATION-Curated ·4 days ago A Remembrance on Father’s Day 2022 —  I remember that warm August evening in 1981. We stood in the Departure Hall of the brand-new modern Changi International Airport which became operational only in July. Just Dad and me. I was en route on a Singapore Labour Foundation post-graduate scholarship to the prestigious London School of Economics (LSE). … 6 min read Published in ILLUMINATION-Curated ·5 days ago “Be Formless, Shapeless Like Water” — Bruce Lee —  In an era of uncertainty and turbulent change, the best strategic response is flexibility and agility. Today’s VUCA (volatility, uncertainty, complexity, and ambiguity) environment, caused by the uncertain impact of known unknown variables regularly, upset existing competitive relationships to produce the stormy turbulence that defies conventional and legacy solutions. 7 min read Published in ILLUMINATION-Curated ·6 days ago Scanning the Context of Blue Strategy —  The marketplace terrain environment is saturated with relevant as well as irrelevant and immaterial variables which have to be grasped, sorted, combined, and meaningfully configured for analysis in accordance with systematic risk evaluation protocols. The multivariate marketplace is further complicated by capricious changes from both known and unknown sources. … 7 min read Published in ILLUMINATION-Curated ·Jun 16 Action Trigons in Dynamic Blue Leading —  The successful management of change by visionary Blue Leadership instills confidence and a sense of direction out of the chaos created by VUCA (volatility, uncertainty, complexity, and ambiguity) to bring about a new social order and equilibrium within the organisation. … 7 min read Published in ILLUMINATION-Curated ·Jun 15 Everyone can Grow to Be a Blue Leader — 5 min read Published in ILLUMINATION-Curated ·Jun 13 Unlocking the Way or Dao of Blue leaders —  Blue Leaders exist to various degrees before I began to write about them. Their eventual discovery is the result of a personal journey that spans nearly 40 years beginning from a student leader through universities, management practice, and intensive Doctoral research, and as a former University Professor who concurrently engages… 9 min read Published in ILLUMINATION-Curated ·Jun 11 The Driving Passions of Blue Leaders —  Passions are feelings of love. Love is a combination of powerful emotions embodying boundless energy that creates and drives creativity and accelerates motivation often to and beyond the point of human endurance. Passion is the life essence of leadership. Leadership is essentially a particular passion to build better, lasting organisations… 9 min read"
96,My Favorite Way To Relieve Stress," 1.3K Followers Published in Globetrotters ·Pinned First, there was a return ticket and then there wasn’t —  What would you do if you woke up to a message like this? A few days ago I received this email message, along these lines, from my travel agent:- “Sorry, but there has been an oversight on your booking. I thought my colleague had booked your return flight and he… 5 min read Pinned Here’s an organised list of all my stories —  I’m a list person, whether that's shopping, travel, or writing. Once it’s written down in list form this makes sense and sticks in my head. I’ve written just over 80 stories so far, and I don’t want you trying to scroll through these as it continues to grow. I hope… 3 min read Published in The Shortform ·Pinned I hated school, dodged the bullies, and then mastered this education stuff much later in life. The interesting version. 1 min read -- -- 19 Published in The Memoirist ·Pinned When the world stops and you are still spinning, it can shatter glass dreams into shards —  “I’ve found the song for our wedding dance,” Mark said, thrilled with himself. Unlike other couples, we didn’t have our song yet. You know, the one that takes both of you away to a connected place. His enthusiasm was infectious. His smile beamed like he had won an around-the-world trip… 5 min read Published in Globetrotters ·Pinned 8 Quick Tips To Avoid Travel Disappointment —  My brother checked his paperwork for travel, and despite his huge folder of paperwork, he very nearly didn’t make his flight back home. He was returning to Canada from New Zealand transiting in Las Vegas. We had decided to get to the airport early, planning to have a last coffee… 4 min read Published in MIDFORM ·13 hours ago I have many but this is my fallback one —  I could probably answer June 22nd prompt: What’s your favorite way to relieve stress, in one sentence. Yes, a brisk walk usually does this for me. When I am feeling stressed as I have been this past week due to a major mess up with my travel agent, I have… 3 min read Published in MIDFORM ·2 days ago Stop messing with my head, really is it true? —  Many of us think we would want to travel and give up what we know, if only we had the time. I have been away from home for just over three months now, which has made me realize that I am actually more of a home bird than I thought. … 4 min read Published in MIDFORM ·3 days ago Okay, who am I kidding —  When I was about 10/11, I collected stamps. Depending on your age, these were sticky little paper things you bought to cover postage, which you had to lick, then stick onto a letter, which went into a letter box to be sent across to the other end of the world. … 2 min read Published in MIDFORM ·4 days ago What happens if you’ve already met your one but then lost them? —  June 18th’s prompt “You meet your soul mate. What are they like?”, led me to ask different questions. What if you believe you’ve already met your soulmate? How many soul mates do you get in a lifetime? One? Two? Three or more? If so, what is a soul mate? Can… 2 min read Published in MIDFORM ·5 days ago There’s nothing like the aroma of fresh home baking —  My mum loved to feed everyone. She was always busy in the kitchen, if you left her home with a distended aching belly that needed a trolley of its own, then in her view her work was done. Never Fear the Unexpected When the unexpected guest would turn up at our home, and she… 3 min read"
97,Lost Chances Aren’t Lost," 335 Followers 13 hours ago If you have lived, you have given up on something. But even a chance that is lost can teach you a lesson. Is it totally lost, then? —  Retirement. It set in long before he knew it was upon him. The fact of it he had decided long ago, but Jack never knew that time could speed by him the way it did. Married by 26, and a father by 30. Now, as a 70-year-old shell of himself… 3 min read May 7 In a land where dragons still fly, and trees talk, life could not be stranger. Not everything is opposite. Kids laugh, and they still play. Some people still sleep… but in the daytime. —  “Stop picking on me”, yelled Gretti to her sister, Gracia. “Your apples are juicier than my peaches. Have you been drinking from that river lately?” Gracia inquired. “No! But if you like them so much, here, have three!” Gretti shoved three large, red delicious apples into Gracia’s moss-covered mouth. … 6 min read May 7 While differences abound, the two are not as far apart as we imagine. The content of the actions is distinct, but the habits of maintenance and motivation hold both together. —  Both take a lifetime to truly master and get the better of. Both can be difficult, especially when faced with unfavorable conditions. Both have a set of guidelines which, if followed with consistency, make lasting results more likely than not. 3 min read May 7 An avalanche scarcely begins with noticeable effects. A pebble is what started this disaster. A pebble that should have never rolled away. Once it did, dystopia was at the door. —  Tis the year 2076. It’s bad, but it didn’t begin like this. Humans loved companionship. It made their world go around. They would talk to each other without fear of awkwardness; they would love without limits. No machines could ever hope to compete with human touch. They would play in… 3 min read May 7 With nothing holding him back, it would seem that anything was possible. Sarge was no longer a constant bother, sure. But now, he has nobody. Is he really better off? Time will tell. —  Quinn found some old-new clothes just three miles north of his trench. The grey jacket smelled of gunpower, and depression. The shoes? Decent at the laces but worn out in the soles; covered in mud. Much of which came off with a quick wipe. 4 min read May 4 Too much of a good thing is…. well, you know. Independence is no exception. Too little, and you’re not taking care of yourself. Too much, and ‘you’ are all you have. —  There he stood. Withered from days of hunger. Parched from weeks of no rain, and little water to drink. Thinking about how much he missed his remaining comrades, his loneliness only intensified. He knew most of them had died. The ones left thought he did, too. 3 min read May 4 At best, it will: drain you, pain you, and make you lose steam early into the race. Just look at the poor little guy below. He’s been running around all day from tree to tree. And guess what he found? —  Much like a squirrel who piles up mounds of acorns, but never eats, piling on heaps of possibilities for work, enjoyment, or time-passing is no way to motivate yourself into picking one. In fact, it will stifle action, decrease productivity, and overload your brain to the brink of explosion. I… 4 min read May 4 It may be objected: Shall we do nothing for the community? I answer, we should. But we cannot guarantee that those efforts will remain, or even extend to all. With ourselves, we can see to it that (1) we benefit, and (2) the help extended does not go to waste. —  In no wise am I degrading the marvelous efforts of community warriors. I thank and appreciate them. Nor do I mean that no efforts BEYOND self-improvement should be made. That is a different assertion; one which I would never make. 3 min read May 3 Another Thursday, another opportunity to make it out of the slums. Charles, a forty-something, retired veteran stood on the corner, offering his hands for help, in exchange for whatever or whoever stumbled his way. You might think he was now used to it, having tread the path of homelessness for… 3 min read May 3 This dog gets it. I think he’s onto something. If he can find time to read about himself, what’s holding you back? —  Reading comes more naturally to some over others. For me, picking up a book comes as easily as grabbing my phone. But it wasn’t always like this. Like much else, ease with sustained reading has come with time and practice. For some, the very thought of sustained reading is too… 4 min read"
98,Suspicions," 118 Followers 18 hours ago Today is exactly one month since I published my first article. I have published 21 articles so far, but have deleted 3. I deleted the first one because it was pretty dumb. The second one because it had no views. … 1 min read 19 hours ago So I’ve spent most of my computer time at home either on Facebook or playing games. My husband knows I like to play slot games and Candy… 1 min read -- -- 1 21 hours ago Yesterday when I left work, I saw a beautiful husky laying on the cement under a park bench. It was a beautiful dog, just like the one in the picture. I looked around to see if there was an owner nearby. I didn’t see anyone. It was almost 100 degrees… 1 min read 2 days ago When we bought our first house, our neighbor on the left was a lovely lady from Mexico. She did not speak english. Her husband was an engineer and they had 7 children. … 2 min read 2 days ago I must have been about 10 years old. That would’ve been in 1970, but it could’ve been any time between 68 and 72. Our father took us to an Exotic Cars show. We had to buy tickets to go in and just look at cars. They were pretty fancy. And… 1 min read 5 days ago There’s no place I’d rather be than in my home. My kids are all grown with families of their own. Although my husband and I live alone, that’s still one person too many. I prefer to be by myself. My days off from work are the days I really look… 2 min read 6 days ago I’ve always regretted dyeing my hair. I was 40 the first time I dyed my hair. I saw several gray hairs, and that’s the reason I started. The first few years, I only dyed it 2 or 3 times a year. Then as the gray hairs began to come in… 2 min read Jun 15 I never realized how often that phrase is used. One day during lunch, our server used that phrase for everything. We gave her our order, No problem. We asked for more tea, No problem. More bread, no problem. The check, No problem. She must’ve used the phrase at least 20… 1 min read Jun 13 My mom has dementia, and our fights with her are constantly about money. My father died 6 years ago and left me as executor. We are trying to stretch out our father’s IRA money so that we can pay for a caregiver as long as possible. We really need a… 2 min read Jun 13 We adopted our dog in December 2009. The rescue had named him Tweak and we decided to keep that name. They said someone had found him running down a busy street with another dog. At the time we adopted him, the rescue estimated him to be 3 to 4 years… 3 min read"
99,He Told Me His Middle Name Was Gertrude & I Believed Him," 937 Followers Published in Know Thyself, Heal Thyself ·Pinned Stop listening to the NAYSAYERS in your life! —  Hello Again Friends! I have been growing and stretching, learning & loving, in a major lifestyle shift — since the summer of 2020. I could see the inner work and progress, reflecting in my personal life, I could see the shifts happening within me, and those around me. Yet, as of April 30th… 6 min read Published in About Me Stories ·Pinned I have been writing extensively since I was about 5 years old, and I still have that first journal and the many that have come afterward. —  I have been through what I’m sure most would say is a large amount of trauma in my (so far) short life and I truly believe they have all happened, so that I can be a light to others, when they are lost in the darkness. I have a vast… 4 min read Published in New Writers Welcome ·Pinned A reality that I had been able to avoid so far on Medium —  In Kristina God’s recent short-form article, she mentions me and includes part of a comment I left on one of her articles. Wow, that was exciting to see a well known writer on Medium, acknowledging my incessant optimism! Thank You Kristina, for inspiring this piece and for the shout out. Now, what I found shocking about the article, was the referencing of other writers on this platform hating each other. 5 min read Published in ILLUMINATION ·Pinned A message received that needs to be shared —  One of the main parts of my mission here on Medium, and in my physical life — is to inspire others to put love first, and help them to see that we don’t have to live in a mind state of hatred, envy, and fear all the time! We choose… 7 min read Published in The Shortform ·10 hours ago Really, I am —  I am constantly switching up my strategies on Medium. My ADHD creates extra challenges for me, but that doesn't hold me back! My Current Process: Check notifications 3 times weekly. Respond to comments; add to list to reciprocate. Daily read 10 articles from list & comment. Do not acknowledge the clappers. “Wait, WHAT?” I realized… 2 min read Published in New Writers Welcome ·19 hours ago To catfish or be catfished? —  Spoiler Alert: This is a true story, but names have been changed. No, I am not really hurt or upset at my friend, whatsoever, just playing with Satire maybe? What even is Satire, by the way? Sarcasm? Anyway — I met this really great guy on the internet. We have been emailing for a few months now. For the sake of shits & giggles, let's call him Gertrude… 5 min read Published in New Writers Welcome ·6 days ago ADHD Realities | Finding your tribe, is to find Love | —  I am starting to feel like my goals on Medium have shifted again. In my first month, April, I started out full force and posted an article just about every 2–3 days. In May, I hit a wall & posted 5 articles for the month. My last posted article for… 6 min read Published in MIDFORM ·Jun 15 Also referred to as a Chrysalis Stage; Let’s see what this looks like in your life —  There are many stages of healing. This stage resonates with me & where I am currently in my life. Let’s see if you can relate! 4 min read Published in New Writers Welcome ·Jun 8 Allow others to speak truths freely; we all have experiences to share. —  Medium is a trigger for me. Is it a trigger for you? It has pulled out so many memories of traumatic events in my life. It makes me want to speak the truths of the pain and love I have experienced. At times, I have noticed that I have been allowing Medium to put me into a VICTIM MIND-STATE. Which is not something that comes naturally to me; something that I struggle with when it comes up. … 6 min read Published in What Is Love To You? ·Jun 6 We are all going through transitions. —  There is no other way for me to describe it besides being stretched. The feelings I am going through, the emotions, the life challenges. I had an epic first month on this platform, and since 4/30/22, things have been falling down all around me. I am being pushed and pulled… 4 min read"
100,Moment of madly naughtiness," 44 Followers 19 hours ago Just like a photograph captures a physical moment, a story photograph captures a moment that happens inside our heart… In my blog series Story Photographs, I’ll be capturing a subtle but dear moment of our life in a story. I hope that as you read this story photograph, you can… 2 min read 1 day ago Just like a photograph captures a physical moment, a story photograph captures a moment that happens inside our heart… In my blog series Story Photographs, I’ll be capturing a subtle but dear moment of our life in a story. I hope that as you read this story photograph, you can… 3 min read 2 days ago Just like a photograph captures a physical moment, a story photograph captures a moment that happens inside our heart… In my blog series Story Photographs, I’ll be capturing a subtle but dear moment of our life in a story. I hope that as you read this story photograph, you can… 4 min read 5 days ago Just like a photograph captures a physical moment, a story photograph captures a moment that happens inside our heart… In my blog series Story Photographs, I’ll be capturing a subtle but dear moment of our life in a story. I hope that as you read this story photograph, you can… 3 min read 6 days ago Just like a photograph captures a physical moment, a story photograph captures a moment that happens inside our heart… In my blog series Story Photographs, I’ll be capturing a subtle but dear moment of our life in a story. I hope that as you read this story photograph, you can… 3 min read Jun 15 Just like a photograph captures a physical moment, a story photograph captures a moment that happens inside our heart… In my blog series Story Photographs, I’ll be capturing a subtle but dear moment of our life in a story. I hope that as you read this story photograph, you can… 3 min read Jun 14 Just like a photograph captures a physical moment, a story photograph captures a moment that happens inside our heart… In my blog series Story Photographs, I’ll be capturing a subtle but dear moment of our life in a story. I hope that as you read this story photograph, you can… 3 min read Jun 13 Just like a photograph captures a physical moment, a story photograph captures a moment that happens inside our heart… In my blog series Story Photographs, I’ll be capturing a subtle but dear moment of our life in a story. I hope that as you read this story photograph, you can… 4 min read Jun 10 Just like a photograph captures a physical moment, a story photograph captures a moment that happens inside our heart… In my blog series Story Photographs, I’ll be capturing a subtle but dear moment of our life in a story. I hope that as you read this story photograph, you can… 2 min read Jun 9 Just like a photograph captures a physical moment, a story photograph captures a moment that happens inside our heart… In my blog series Story Photographs, I’ll be capturing a subtle but dear moment of our life in a story. I hope that as you read this story photograph, you can… 4 min read"
101,Sometimes Even Penguins Get Lonely," 41 Followers Published in The Lark ·4 hours ago Poetry —  Before I jump in, the trichotillomania’s nails plug away from the anxiety of having to live another day. The world becomes so minuscule that I can use a finger to uncover the sun. All these eyes, voices, and laughs make me feel so insignificant. The penguins stare at me, and… 1 min read Published in ILLUMINATION ·1 day ago It was a hot Boston summer morning when the referral came in. The patient was Señor Hector, a 63-year-old exiled immigrant from Latin America with new prostate cancer requiring prostatectomy surgery. The hospital had lost contact with him and needed someone to help him schedule the procedure. “Challenging patient,” his… 5 min read Published in Know Thyself, Heal Thyself ·Jun 12 We Painted —  My toes are puffed with the brown sand. My fingernails’ beds hold on to the days when they tucked in the pleasure of scratching your back and scalp on Sunday mornings. I look up, and the kites above this lazy green ocean dance without us mi amor. The birds look… 1 min read My toes are puffed with the brown sand. My fingernails’ beds hold on to the days when they tucked in the pleasure of scratching your back and scalp on Sunday mornings. I look up, and the kites above this lazy green ocean dance without us mi amor. The birds look… -- -- 3 Published in The Lark ·Mar 23 Poetry —  I cut off my fingertips with the wish of no longer feeling the crest of your back. The blue room is now white, not because my eyes turned color blind but because you took the crayons that allowed us to scratch the sun. I cut off my hair so your… 1 min read I cut off my fingertips with the wish of no longer feeling the crest of your back. The blue room is now white, not because my eyes turned color blind but because you took the crayons that allowed us to scratch the sun. I cut off my hair so your… -- -- 2 Published in The Lark ·Feb 14 Poetry —  They told me to use songs to wish you a happy farewell, but I didn’t. Happy with me or without me? Those are the words of a loser who didn’t love you enough mi amor. I am proud of this selfishness that keeps your name stabbing my core like a… 2 min read Published in The Lark ·Jan 4 Poetry —  It might be the merengue that moves my feet, the wind shaking off the coconut trees, or the freedom we gifted the dictators. Perhaps it is the voice that raises the Christians, the blood that feeds the river, or the mother who baptizes the child with rum. It might be… 1 min read It might be the merengue that moves my feet, the wind shaking off the coconut trees, or the freedom we gifted the dictators. Perhaps it is the voice that raises the Christians, the blood that feeds the river, or the mother who baptizes the child with rum. It might be… -- -- Published in The Lark ·Dec 30, 2021 Poetry —  I miss the rush of another man’s blood on my sleeve. I crave the sight of my brothers’ tears being dissolved in the black mud. These thoughts are irrational, egocentric, and even masochistic. Don’t you think, little bird? It feels so cold and lonely being wrapped up by these dust… 2 min read Published in Know Thyself, Heal Thyself ·Nov 15, 2021 As a little boy in the Caribbean, I grew up fascinated reading the eroticism of Pablo Neruda and Gabriel Garcia Marquez’s works. Their words were not just designed as perfectly aligning mosaic pieces; they also carried a courage absent during my formation years. I wanted to write like them, feel… 4 min read Published in The Lark ·Nov 5, 2021 Poetry —  If the world went blind, what would we see? Whose face would live longer in my memory? Would that be yours rubita? Or would it be the faces my narcissism pushed to the side? It is jovial to think of the chaos the cities would fall into. The rebellions that… 1 min read If the world went blind, what would we see? Whose face would live longer in my memory? Would that be yours rubita? Or would it be the faces my narcissism pushed to the side? It is jovial to think of the chaos the cities would fall into. The rebellions that… -- -- Published in The Lark ·Nov 4, 2021 Poetry —  I carry two grains of hope in my back pocket. They make me wonder if misery and humility are the same things. Should the boy who once stole to eat become the man who feeds the sealed mouths? It is not permissible to think that way my book pampered brain… 1 min read"
102,Allow Youth to Imitate Life Until They are Required to Live It," 2.8K Followers Published in ILLUMINATION ·Pinned Humans huddled in the corner of a classroom —  Everyone sprang into action at the sound of the lockdown signal. With the depression of the button, a recorded message announced over the intercom, “This is a lockdown. Immediately, prepare for lockdown. Lockdown in progress.” With those few words, our school changed from a learning environment to a survival mode… 3 min read Published in Be Yourself ·Pinned A home without a pet contains empty spaces —  I didn’t realize the gravity of my decision when I agreed to allow our daughter to foster kittens. When Kari proposed the idea, her father was a barrier to overcome. He dislikes cats. But when the fourteen-year-old tilted her head slightly to the right, flashed her crooked smile, and batted… 5 min read Published in Know Thyself, Heal Thyself ·5 hours ago #5 Life Lessons from the Children —  “A Person’s most useful asset is not the head full of knowledge, but a heart full of love, an ear ready to listen and a hand willing to help.” — Leo Buscalglia I never know what my-six-year old daughter’s hands might do next. One afternoon they turned the doorknob so… 6 min read Published in Know Thyself, Heal Thyself ·3 days ago Stop living vicariously and allow your senses to absorb life —  There are moments when all anxiety and stated toil are becalmed in the infinite leisure and repose of nature. ~Henry David Thoreau. Sitting among pine trees reminds me of my significance. Watching and listening to the wonders of nature generates appreciation of events yet to happen. Simply opening my eyes… 3 min read Published in ILLUMINATION ·Jun 15 Learn to protect yourself from verbal assaults —  Last week I had to reread my own advice when I found myself confronted by a neighbor who claimed to desire some answers but instead ranted illogically about issues beyond my control. In a moment of weakness one year earlier, I accepted a nomination to serve on our homeowners’ association… 4 min read Published in The Memoirist ·Jun 15 Tattoos engrave memories —  I couldn’t imagine why anyone would purposefully mark themselves with a design that would permanently stain their body for eternity. Tattoos are not my thing. I could blame this thought on my fear of needles but in reality, it stems from an old-fashion belief that only carnies and rock stars… 5 min read Published in Feedium ·Jun 2 Writing is a science and the first step is to identify the audience —  Try this activity It reinforces the need of identifying audience. Visit a bookstore and browse the magazine shelf. Find a category and explore the many types of publications available. Each journal attracts different personalities and fulfill a variety of interests. Examine the list below of magazines for car enthusiasts. Each address a similar… 5 min read Published in Feedium ·Jun 2 By not identifying the reader, writing can be a waste of time —  Does the dialogue change to match the audience? Absolutely! For example dialogue changes depending on the audience. A simple greeting can be formal, casual, personal, or non-verbal. Each of the following examples illustrates a teen boy meeting someone and shows how they might act and what they might say. When the teen met his girlfriend’s father for the… 4 min read Published in ILLUMINATION ·May 31 The star tells you if you are making money — or not —  See the highlighted star beside the word Published? It is the signal that a story is metered. My first two articles in the picture are metered; therefore, I make money based on the number of member readers on Medium and their interactions. The three articles with the red arrows are… 3 min read Published in ILLUMINATION ·May 31 Let the data govern decisions instead of fear —  Top 9 Lifetime Odds of Dying By … Heart Disease: 1 in 6 Cancer: 1 in 7 Chronic lower respiratory disease: 1 in 27 Suicide: 1 in 88 Opioid overdose: 1 in 96 Motor vehicle crash: 1 in 103 Fall: 1 in 114 Gun assault: 1 in 285 Pedestrian incident: 1 in 556 —Data from article Odds of… 3 min read"
